Manufacturer;Name;FlashDevice;DeviceFamily;BetaSupport;ExternalBus;Endian;CoreId;BaseAddr;RAMAddr;RAMSize
AMS;AS7000;AS7000 internal;060000FF;0;0;0;0BB11477;30000000;20000000;1000
Analog;AD7160;AD7160 internal;030000FF;0;1;0;2BA01477;0;20000000;1000
Analog;ADuC7020x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7021x32;ADuC702xx32 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;1000
Analog;ADuC7021x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7022x32;ADuC702xx32 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;1000
Analog;ADuC7022x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7023;ADuC7023 internal;070000FF;0;0;0;4F1F0F0F;80000;10000;2000
Analog;ADuC7024x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7025x32;ADuC702xx32 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;1000
Analog;ADuC7025x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7026x62;ADuC702xx62 internal;070000FF;0;1;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7027x62;ADuC702xx62 internal;070000FF;0;1;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7028x62;ADuC7028x62 internal;070000FF;0;1;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7030;ADuC7030 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7031;ADuC7031 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7032;ADuC7032 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1800
Analog;ADuC7033;ADuC7033 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1800
Analog;ADuC7034;ADuC7034 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7036;ADuC7036 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1800
Analog;ADuC7038;ADuC7038 internal;070001FF;0;1;0;127E91CB;80000;40000;1000
Analog;ADuC7039;ADuC7039 internal;070001FF;0;1;0;227E91CB;80000;40000;1000
Analog;ADuC7060;ADuC7060 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7061;ADuC7061 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7062;ADuC7062 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7121;ADuC7121 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;2000
Analog;ADuC7122;ADuC7122 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;2000
Analog;ADuC7124;ADuC7124 internal;070000FF;0;1;0;4F1F0F0F;80000;40000;8000
Analog;ADuC7128;ADuC7128 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;2000
Analog;ADuC7129;ADuC7129 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;2000
Analog;ADuC7229x126;ADuC722xx126 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;2000
Analog;ADuCM301;ADuCM301 internal;030000FF;0;1;0;2BA01477;0;20000000;2000
Analog;ADuCM310;ADuCM310 internal;030000FF;0;1;0;2BA01477;0;20000000;8000
Analog;ADuCM320;ADuCM320 internal;030000FF;0;1;0;2BA01477;0;20000000;8000
Analog;ADuCM330;ADuCM330 internal;030000FF;0;1;0;2BA01477;0;20000000;1800
Analog;ADuCM331;ADuCM331 internal;030000FF;0;1;0;2BA01477;0;20000000;1800
Analog;ADuCM332;ADuCM332 internal;030000FF;0;1;0;2BA01477;0;20000000;1800
Analog;ADuCM350;ADuCM350 internal;030000FF;0;1;0;2BA01477;0;20000000;4000
Analog;ADuCM360;ADuCM360 internal;030000FF;0;1;0;2BA01477;0;20000000;2000
Analog;ADuCM361;ADuCM361 internal;030000FF;0;1;0;2BA01477;0;20000000;2000
Analog;ADuCM362;ADuCM362 internal;030000FF;0;1;0;2BA01477;0;20000000;6000
Analog;ADuCRF02;ADuCRF02 internal;030000FF;0;1;0;2BA01477;0;20000000;2000
Analog;ADuCRF101;ADuCRF101 internal;030000FF;0;1;0;2BA01477;0;20000000;4000
Analog;ADSP-CM402BSWZ-EF;ADSP-CM402BSWZ-EF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM402BSWZ-FF;ADSP-CM402BSWZ-FF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM403BSWZ-CF;ADSP-CM403BSWZ-CF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM403BSWZ-EF;ADSP-CM403BSWZ-EF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM403BSWZ-FF;ADSP-CM403BSWZ-FF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM407BSWZ-AF;ADSP-CM407BSWZ-AF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM407BSWZ-BF;ADSP-CM407BSWZ-BF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM407BSWZ-DF;ADSP-CM407BSWZ-DF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM408BSWZ-AF;ADSP-CM408BSWZ-AF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM408BSWZ-BF;ADSP-CM408BSWZ-BF internal;030000FF;0;1;0;2BA01477;18000000;10000000;10000
Analog;ADSP-CM409BSWZ-AF;ADSP-CM409BSWZ-AF internal;0E0000FF;0;1;0;2BA01477;18000000;10000000;18000
Analog;ADSP-CM409BSWZ-BF;ADSP-CM409BSWZ-BF internal;0E0000FF;0;1;0;2BA01477;18000000;10000000;18000
Atmel;ATSAM3A2C;AT91SAM3A2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3A4C;AT91SAM3A4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3A8C;AT91SAM3A8 internal;030000FF;0;0;0;4BA00477;80000;20000000;10000
Atmel;ATSAM3N00A;AT91SAM3N00 internal;030000FF;0;0;0;4BA00477;400000;20000000;1000
Atmel;ATSAM3N00B;AT91SAM3N00 internal;030000FF;0;0;0;4BA00477;400000;20000000;1000
Atmel;ATSAM3N0A;AT91SAM3N0 internal;030000FF;0;0;0;4BA00477;400000;20000000;2000
Atmel;ATSAM3N0B;AT91SAM3N0 internal;030000FF;0;0;0;4BA00477;400000;20000000;2000
Atmel;ATSAM3N0C;AT91SAM3N0 internal;030000FF;0;0;0;4BA00477;400000;20000000;2000
Atmel;ATSAM3N1A;AT91SAM3N1 internal;030000FF;0;0;0;4BA00477;400000;20000000;2000
Atmel;ATSAM3N1B;AT91SAM3N1 internal;030000FF;0;0;0;4BA00477;400000;20000000;2000
Atmel;ATSAM3N1C;AT91SAM3N1 internal;030000FF;0;0;0;4BA00477;400000;20000000;2000
Atmel;ATSAM3N2A;AT91SAM3N2 internal;030000FF;0;0;0;4BA00477;400000;20000000;4000
Atmel;ATSAM3N2B;AT91SAM3N2 internal;030000FF;0;0;0;4BA00477;400000;20000000;4000
Atmel;ATSAM3N2C;AT91SAM3N2 internal;030000FF;0;0;0;4BA00477;400000;20000000;4000
Atmel;ATSAM3N4A;AT91SAM3N4 internal;030000FF;0;0;0;4BA00477;400000;20000000;6000
Atmel;ATSAM3N4B;AT91SAM3N4 internal;030000FF;0;0;0;4BA00477;400000;20000000;6000
Atmel;ATSAM3N4C;AT91SAM3N4 internal;030000FF;0;0;0;4BA00477;400000;20000000;6000
Atmel;ATSAM3S1A;AT91SAM3S1 internal;030000FF;0;0;0;4BA00477;400000;20000000;4000
Atmel;ATSAM3S1B;AT91SAM3S1 internal;030000FF;0;0;0;4BA00477;400000;20000000;4000
Atmel;ATSAM3S1C;AT91SAM3S1 internal;030000FF;0;0;0;4BA00477;400000;20000000;4000
Atmel;ATSAM3S2A;AT91SAM3S2 internal;030000FF;0;0;0;4BA00477;400000;20000000;8000
Atmel;ATSAM3S2B;AT91SAM3S2 internal;030000FF;0;0;0;4BA00477;400000;20000000;8000
Atmel;ATSAM3S2C;AT91SAM3S2 internal;030000FF;0;0;0;4BA00477;400000;20000000;8000
Atmel;ATSAM3S4A;AT91SAM3S4 internal;030000FF;0;0;0;4BA00477;400000;20000000;C000
Atmel;ATSAM3S4B;AT91SAM3S4 internal;030000FF;0;0;0;4BA00477;400000;20000000;C000
Atmel;ATSAM3S4C;AT91SAM3S4 internal;030000FF;0;0;0;4BA00477;400000;20000000;C000
Atmel;ATSAM3S8B;AT91SAM3S8 internal;030000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM3S8C;AT91SAM3S8 internal;030000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM3SD8B;AT91SAM3S8 internal;030000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM3SD8C;AT91SAM3S8 internal;030000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM3U1C;AT91SAM3U1 internal;030000FF;0;0;0;4BA00477;80000;20000000;2000
Atmel;ATSAM3U2C;AT91SAM3U2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3U4C;AT91SAM3U4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3U1E;AT91SAM3U1 internal;030000FF;0;0;0;4BA00477;80000;20000000;2000
Atmel;ATSAM3U2E;AT91SAM3U2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3U4E;AT91SAM3U4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3X2C;AT91SAM3X2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3X2E;AT91SAM3X2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3X2G;AT91SAM3X2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3X2H;AT91SAM3X2 internal;030000FF;0;0;0;4BA00477;80000;20000000;4000
Atmel;ATSAM3X4C;AT91SAM3X4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3X4E;AT91SAM3X4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3X4G;AT91SAM3X4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3X4H;AT91SAM3X4 internal;030000FF;0;0;0;4BA00477;80000;20000000;8000
Atmel;ATSAM3X8C;AT91SAM3X8 internal;030000FF;0;0;0;4BA00477;80000;20000000;10000
Atmel;ATSAM3X8E;AT91SAM3X8 internal;030000FF;0;0;0;4BA00477;80000;20000000;10000
Atmel;ATSAM3X8G;AT91SAM3X8 internal;030000FF;0;0;0;4BA00477;80000;20000000;10000
Atmel;ATSAM3X8H;AT91SAM3X8 internal;030000FF;0;0;0;4BA00477;80000;20000000;10000
Atmel;ATSAM4N8A;AT91SAM4N8 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4N8B;AT91SAM4N8 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4N8C;AT91SAM4N8 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4N16B;AT91SAM4N16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;14000
Atmel;ATSAM4N16C;AT91SAM4N16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;14000
Atmel;ATSAM4S2A;AT91SAM4S2 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4S2B;AT91SAM4S2 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4S2C;AT91SAM4S2 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4S4A;AT91SAM4S4 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4S4B;AT91SAM4S4 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4S4C;AT91SAM4S4 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;10000
Atmel;ATSAM4S8A;AT91SAM4S8 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4S8B;AT91SAM4S8 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4S8C;AT91SAM4S8 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4S16A;AT91SAM4S16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4S16B;AT91SAM4S16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4S16C;AT91SAM4S16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4SA16B;AT91SAM4SA16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4SA16C;AT91SAM4SA16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4SD16B;AT91SAM4SD16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4SD16C;AT91SAM4SD16 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4SD32B;AT91SAM4SD32 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4SD32C;AT91SAM4SD32 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4SP32A;AT91SAM4SP32 internal;0E0000FF;0;0;0;4BA00477;400000;20000000;28000
Atmel;ATSAM4C4C;ATSAM4C4x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4C8C;ATSAM4C8x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4C16C;ATSAM4C16x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4C32C;ATSAM4C32x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4C32E;ATSAM4C32x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMP8C;ATSAM4C8x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMP16C;ATSAM4C16x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMP32C;ATSAM4C32x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMS4C;ATSAM4C4x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMS8C;ATSAM4C8x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMS16C;ATSAM4C16x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMS32C;ATSAM4C32x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CMSP16C;ATSAM4C16x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CP8B;ATSAM4C8x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CP16B;ATSAM4C16x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4CP16C;ATSAM4C16x internal;0E0000FF;0;0;0;4BA00477;1000000;20000000;20000
Atmel;ATSAM4E8C;ATSAM4E8x internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4E8CB;ATSAM4E8x internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4E8E;ATSAM4E8x internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4E16C;ATSAM4E16x internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4E16CB;ATSAM4E16x internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4E16E;ATSAM4E16x internal;0E0000FF;0;0;0;4BA00477;400000;20000000;20000
Atmel;ATSAM4LC1A;ATSAM4Lx1xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;4000
Atmel;ATSAM4LC1B;ATSAM4Lx1xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;4000
Atmel;ATSAM4LC1C;ATSAM4Lx1xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;4000
Atmel;ATSAM4LC2A;ATSAM4Lx2xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LC2B;ATSAM4Lx2xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LC2C;ATSAM4Lx2xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LC4A;ATSAM4Lx4xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LC4B;ATSAM4Lx4xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LC4C;ATSAM4Lx4xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LC8A;ATSAM4Lx8xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;10000
Atmel;ATSAM4LC8B;ATSAM4Lx8xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;10000
Atmel;ATSAM4LC8C;ATSAM4Lx8xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;10000
Atmel;ATSAM4LS1A;ATSAM4Lx1xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;4000
Atmel;ATSAM4LS1B;ATSAM4Lx1xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;4000
Atmel;ATSAM4LS1C;ATSAM4Lx1xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;4000
Atmel;ATSAM4LS2A;ATSAM4Lx2xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LS2B;ATSAM4Lx2xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LS2C;ATSAM4Lx2xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LS4A;ATSAM4Lx4xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LS4B;ATSAM4Lx4xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LS4C;ATSAM4Lx4xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;8000
Atmel;ATSAM4LS8A;ATSAM4Lx8xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;10000
Atmel;ATSAM4LS8B;ATSAM4Lx8xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;10000
Atmel;ATSAM4LS8C;ATSAM4Lx8xx internal;0E0000FF;0;0;0;2BA01477;0;20000000;10000
Atmel;ATSAMC20E15;ATSAMC20x15 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMC20E16;ATSAMC20x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000
Atmel;ATSAMC20E17;ATSAMC20x17 internal;060000FF;0;0;0;0BC11477;0;20000000;4000
Atmel;ATSAMC20E18;ATSAMC20x18 internal;060000FF;0;0;0;0BC11477;0;20000000;8000
Atmel;ATSAMC20G15;ATSAMC20x15 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMC20G16;ATSAMC20x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000
Atmel;ATSAMC20G17;ATSAMC20x17 internal;060000FF;0;0;0;0BC11477;0;20000000;4000
Atmel;ATSAMC20G18;ATSAMC20x18 internal;060000FF;0;0;0;0BC11477;0;20000000;8000
Atmel;ATSAMC20J16;ATSAMC20x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000
Atmel;ATSAMC20J17;ATSAMC20x17 internal;060000FF;0;0;0;0BC11477;0;20000000;4000
Atmel;ATSAMC20J18;ATSAMC20x18 internal;060000FF;0;0;0;0BC11477;0;20000000;8000
Atmel;ATSAMC21E15;ATSAMC21x15 internal;060000FF;0;0;0;0BC11477;0;20000000;1000 
Atmel;ATSAMC21E16;ATSAMC21x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000 
Atmel;ATSAMC21E17;ATSAMC21x17 internal;060000FF;0;0;0;0BC11477;0;20000000;4000 
Atmel;ATSAMC21E18;ATSAMC21x18 internal;060000FF;0;0;0;0BC11477;0;20000000;8000 
Atmel;ATSAMC21G15;ATSAMC21x15 internal;060000FF;0;0;0;0BC11477;0;20000000;1000 
Atmel;ATSAMC21G16;ATSAMC21x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000 
Atmel;ATSAMC21G17;ATSAMC21x17 internal;060000FF;0;0;0;0BC11477;0;20000000;4000 
Atmel;ATSAMC21G18;ATSAMC21x18 internal;060000FF;0;0;0;0BC11477;0;20000000;8000 
Atmel;ATSAMC21J16;ATSAMC21x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000 
Atmel;ATSAMC21J17;ATSAMC21x17 internal;060000FF;0;0;0;0BC11477;0;20000000;4000 
Atmel;ATSAMC21J18;ATSAMC21x18 internal;060000FF;0;0;0;0BC11477;0;20000000;8000 
Atmel;ATSAMD09C13;ATSAMD09x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD09D14;ATSAMD09x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10C12;ATSAMD10x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10C13;ATSAMD10x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10C14;ATSAMD10x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D12;ATSAMD10x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D13;ATSAMD10x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D14;ATSAMD10x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D12AS;ATSAMD10x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D13AS;ATSAMD10x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D14AS;ATSAMD10x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D12AM;ATSAMD10x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D13AM;ATSAMD10x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D14AM;ATSAMD10x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10D14AU;ATSAMD10x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10E12;ATSAMD10x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10E13;ATSAMD10x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD10E14;ATSAMD10x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11C12;ATSAMD11x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11C13;ATSAMD11x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11C14;ATSAMD11x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11D12;ATSAMD11x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11D13;ATSAMD11x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11D14;ATSAMD11x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11D14AS;ATSAMD11x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11D14AM;ATSAMD11x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11D14AU;ATSAMD11x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11E12;ATSAMD11x12 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11E13;ATSAMD11x13 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD11E14;ATSAMD11x14 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD20E14;ATSAMD20x14 internal;060000FF;0;0;0;0BC11477;0;20000000;800
Atmel;ATSAMD20E15;ATSAMD20x15 internal;060000FF;0;0;0;0BC11477;0;20000000;1000
Atmel;ATSAMD20E16;ATSAMD20x16 internal;060000FF;0;0;0;0BC11477;0;20000000;2000
